date,bot_name,realized_pnl,realized_buy_amt,realized_roi,unrealized_pnl,unrealized_roi,holding_buy_amt,total_pnl,total_buy_amt,total_roi
2025-04-17,schedulerbot,124259.0,1692644.0,7.5,15460.0,1.0,1911840.0,139719.0,3604484.0,4.0
2025-04-17,dreaminmindbot,6300.0,491400.0,1.5,-35410.0,-1.0,3974010.0,-29110.0,4465410.0,-0.5
2025-04-17,bnuazz15bot_real,177350.0,1353000.0,13.0,-17110.0,-0.5,4804910.0,160240.0,6157910.0,2.5
2025-05-26,dreaminmindbot,151136.0,16033634.0,1.0,-368280.0,-9.0,3984430.0,-217144.0,20018064.0,-1.0
2025-05-26,bnuazz15bot_real,-8248.0,26489193.0,0.0,-418905.0,-5.5,7510565.0,-427153.0,33999758.0,-1.5
2025-05-27,dreaminmindbot,151136.0,16033634.0,1.0,-358600.0,-9.0,3984430.0,-207464.0,20018064.0,-1.0
2025-05-27,bnuazz15bot_real,-8248.0,26489193.0,0.0,-410095.0,-5.5,7510565.0,-418343.0,33999758.0,-1.0
2025-05-29,dreaminmindbot,14566.0,18289314.0,0.0,-186010.0,-4.0,4483630.0,-171444.0,22772944.0,-1.0
2025-06-18,schedulerbot,-221582.0,27025510.0,-1.0,0.0,0.0,0.0,-221582.0,27025510.0,-1.0
2025-06-30,dreaminmindbot,345686.0,28244754.0,1.0,-261080.0,-8.5,3008720.0,84606.0,31253474.0,0.5
2025-06-30,schedulerbot,-155582.0,28260260.0,-0.5,-58530.0,-1.0,4758010.0,-214112.0,33018270.0,-0.5
2025-07-01,dreaminmindbot,444286.0,30492254.0,1.5,-225580.0,-6.5,3428220.0,218706.0,33920474.0,0.5
2025-07-01,schedulerbot,-155582.0,28260260.0,-0.5,43775.0,1.0,4758010.0,-111807.0,33018270.0,-0.5
2025-07-02,schedulerbot,-155582.0,28260260.0,-0.5,94680.0,2.0,4905000.0,-60902.0,33165260.0,0.0
